,Unnamed: 0,location_name,address,lat,lng
1920,1920,Fresno Pacific University - Hanford Satellite,"925 N. 13th Ave., Hanford, CA 93230-9672",36.3329315,-119.690022
1921,1921,Fresno Pacific University - Lemoore Satellite,"555 College Avenue, Lemoore, CA 93245-9248",36.2926108,-119.8217898
1922,1922,Fresno Pacific University - Central Unified School District,"4605 N Polk Avenue, Fresno, CA 93722",36.801131,-119.8923877
1923,1923,Fresno Pacific Biblical Seminary,"1717 S Chestnut Ave, Fresno, CA 93702",36.7254417,-119.7340528
1924,1924,Fuller Theological Seminary,"135 N Oakland Ave, Pasadena, CA 91182",34.148218,-118.1404603
1925,1925,Fuller Theological Seminary (Orange County Regional Campus),"17744 Skypark Circle Suite 150, Irvine, CA 92614",33.6888331,-117.856273
1926,1926,Fuller Theological Seminary (Sacramento Regional Campus),"2250 Del Paso Road, Suite B, Sacramento, CA 95834",38.65566829999999,-121.5100085
1927,1927,Fuller Theological Seminary (Bay Area Regional Campus),"320 Middlefield Road, Menlo Park, CA 94025",37.45672830000001,-122.167592
1928,1928,Fuller Theological Seminary (Colorado Regional Campus),"225 North Weber Street, Colorado Springs, CO 80903",38.8376265,-104.819331
1929,1929,Fuller Theological Seminary (Northwest Regional Campus),"9725 Third Avenue, Suite 110, Seattle, WA 98115",47.6999751,-122.3266034
1930,1930,Fuller Theological Seminary (Arizona Regional Campus),"1110 E Missouri Avenue, Suite 530, Phoenix, AZ 85014",33.5168449,-112.0581683
1931,1931,Fuller Theological Seminary (Texas Regional Campus),"10200 Richmond Ave, Suite 170, Houston, TX 77042",29.7285579,-95.5524461
1932,1932,Fullerton College,"321 E Chapman Avenue, Fullerton, CA 92832-2095",33.875251,-117.9175771
1933,1933,Galen College of Medical and Dental Assistants,"1604 Ford Ave, Modesto, CA 95350",37.6675024,-120.983375
1934,1934,Galen College of Medical and Dental Assistants,"1325 N Wishon Ave, Fresno, CA 93728",36.7600821,-119.8013509
1935,1935,Galen College of Medical and Dental Assistants,"3908 W Caldwell, Suite A, Vislia, CA 93277",36.2991019,-119.33363
1936,1936,Gavilan College,"5055 Santa Teresa Blvd, Gilroy, CA 95020",36.9666134,-121.562
1937,1937,Gemological Institute of America,"5345 Armada Dr, Carlsbad, CA 92008",33.1322843,-117.3192726
1938,1938,Glendale Community College,"1500 N Verdugo Rd, Glendale, CA 91208-2894",34.1684126,-118.2290726
1939,1939,Gateway Seminary,"3210 East Guasti Road, Ontario, CA 91761",34.0643872,-117.5816642
1940,1940,Gateway Seminary (Arizona Campus),"12801 N 28th Dr, Phoenix, AZ 85029",33.6022957,-112.1192223
1941,1941,Gateway Seminary (Pacific Northwest Campus),"3200 NE 109th Avenue, Vancouver, WA 98682-7749",45.6454276,-122.5625853
1942,1942,Gateway Seminary (Rocky Mountain Campus),"7393 S. Alton Way, Centennial, CO 80112-2302",39.5825904,-104.8850051
1943,1943,Gateway Seminary,"251 S. Randolph Avenue, Suite A, Brea, CA 92821-5705",33.9153706,-117.8904335
1944,1944,Gateway Seminary (Bay Area Campus),"38891 Mission Blvd., Fremont, CA 94536",37.5668678,-121.9635507
1945,1945,Golden Gate University,"536 Mission Street, San Francisco, CA 94105-2968",37.7893124,-122.3990296
1946,1946,Golden Gate University - Los Angeles,"725 South Figueroa Street, Suite 1550, Los Angeles, CA 90017",34.0491261,-118.2617072
1947,1947,Golden Gate University - Silicon Valley,"3000 Mission College Blvd., Santa Clara, CA 95054",37.3912164,-121.9820461
1948,1948,Golden Gate University - Seattle,"1424 Fourth Avenue, Suite 410, Seattle, WA 98101",47.6101261,-122.3361383
1949,1949,Golden Gate Dietetic Internship,"336 Bon Air Center #125, Greenbrae, CA 94904",37.9455216,-122.5222513
1950,1950,Golden West College,"15744 Golden West, Huntington Beach, CA 92647-2710",33.7325619,-118.0046404
1951,1951,Graduate Theological Union,"2400 Ridge Rd, Berkeley, CA 94709-1212",37.8755636,-122.2618661
1952,1952,Grossmont Adult School,"1100 Murray Drive, El Cajon, CA 92020",32.7806824,-116.9873117
1953,1953,Grossmont College,"8800 Grossmont College Dr, El Cajon, CA 92020-1799",32.8164953,-117.0063045
1954,1954,Salon Success Academy - San Bernardino,"6780  Indiana Avenue, Suite #200, Riverside, CA 92506",33.9431472,-117.3911176
1955,1955,Harbor Occupational Center,"740 N Pacific Ave, San Pedro, CA 90731",33.7498205,-118.2867808
1956,1956,Hartnell College,"156 Homestead Ave, Salinas, CA 93901",36.6738987,-121.6653751
1957,1957,Harvey Mudd College,"301 Platt Blvd., Claremont, CA 91711-5990",34.1059342,-117.7072802
1958,1958,Hilltop Beauty School,"6317 Mission St, Daly City, CA 94014",37.7054739,-122.4614193
1959,1959,Holy Names University,"3500 Mountain Blvd, Oakland, CA 94619-1699",37.8029258,-122.186977
1960,1960,Pacifica Graduate Institute,"249 Lambert Rd, Carpinteria, CA 93013",34.4219474,-119.5805358
1961,1961,Pacifica Graduate Institute - Ladera Campus,"801 Ladera Lane, Carpinteria, CA 93108",34.4400727,-119.5793877
1962,1962,Humboldt State University,"1 Harpst Street, Arcata, CA 95521-8299",40.8744392,-124.0790979
1963,1963,Humphreys University,"6650 Inglewood Avenue, Stockton, CA 95207",38.010932,-121.316155
1964,1964,Humphreys College - Modesto Campus,"3600 Sisk Road, Modesto, CA 95356",37.6911803,-121.0618614
1965,1965,Imperial Valley College,"380 E. Aten Road, Imperial, CA 92251-0158",32.8290418,-115.5054213
1966,1966,Institute for Business and Technology,"2400 Walsh Avenue, Santa Clara, CA 95051",37.3686705,-121.9695286
1967,1967,ICR Graduate School,"10946 Woodside Avenue, North, Santee, CA 92071",32.8424542,-116.9601299
1968,1968,LA College International,"3200 Wilshire Blvd. #400, Los Angeles, CA 90010-1308",34.061458,-118.2919856
1969,1969,Interior Designers Institute,"1061 Camelback Rd, Newport Beach, CA 92660",33.6412558,-117.8657123
1970,1970,TONI & GUY Hairdressing Academy,"464 North Fairfax Avenue, Los Angeles, CA 90036",34.0799203,-118.3611276
1971,1971,Toni & Guy Hairdressing Academy,"3400 Bristol Street, Costa Mesa, CA 92626",33.6929565,-117.8850775
1972,1972,Toni & Guy Hairdressing Academy,"8939 East Talking Stick Way, Suite B-2, Scottsdale, AZ 85250",33.5383082,-111.8890353
1973,1973,Irvine Valley College,"5500 Irvine Center Drive, Irvine, CA 92618-0301",33.6744624,-117.7784413
1974,1974,Bellus Academy,"1073 E Main St, El Cajon, CA 92021",32.7940407,-116.946059
1975,1975,John F. Kennedy University,"100 Ellinwood Way, Pleasant Hill, CA 94523-4817",37.9571415,-122.0543582
1976,1976,John F Kennedy University - Berkeley Campus,"2956 San Pablo Ave 2nd. Floor, Berkeley, CA 94702-2471",37.853163,-122.2877184
1977,1977,John F Kennedy University - San Jose Campus,"3031 Tisch Way 100 Plaza East, San Jose, CA 95128-2541",37.3174555,-121.9475415
1978,1978,American Jewish University,"15600 Mulholland Dr, Los Angeles, CA 90077-1519",34.1263884,-118.4725275
1979,1979,Reedley College,"995 N Reed Ave, Reedley, CA 93654",36.6053908,-119.4600072
1980,1980,Life Pacific University,"1100 W. Covina Blvd, San Dimas, CA 91773",34.0987652,-117.829457
1981,1981,LPC-Ignite,"900 Life Drive, Christiansburg, VA 24073",37.1161929,-80.41503759999999
1982,1982,University of La Verne,"1950 Third St, La Verne, CA 91750",34.1011312,-117.7735069
1983,1983,Laguna College of Art and Design,"2222 Laguna Canyon Rd, Laguna Beach, CA 92651-1136",33.56135,-117.7726345
1984,1984,Lake Tahoe Community College,"One College Drive, South Lake Tahoe, CA 96150",38.9269827,-119.9727982
1985,1985,Lancaster Beauty School,"44646 N 10th St W, Lancaster, CA 93534",34.6951487,-118.1477175
1986,1986,Laney College,"900 Fallon St, Oakland, CA 94607",37.7945245,-122.2611597
1987,1987,Lassen Community College,"Hwy 139, Susanville, CA 96130",40.4157116,-120.6488995
1988,1988,Life Chiropractic College-West,"25001 Industrial Blvd., Hayward, CA 94545-2800",37.6377503,-122.1183586
