,location_name,address
6391,Dominican University,"7900 W Division St, River Forest, IL 60305"
6392,Dominican University at Harold Washington Library,"400 South State Street, Chicago, IL 60605"
6393,Dominican University at Alexian Brothers Medical Center,"800 Alexian Way, Elk Grove Village, IL 60007"
6394,Dominican University at Multi-University Center,"1200 University Center Drive, Grayslake, IL 60030"
6395,Dominican University at Dominican Conference Center,"7900 W. Division, River Forest, IL 60305"
6396,Dominican University at Northbrook,"2001 Waukegan Road, Techny, IL 60082"
6397,Dominican University at Noble Charter School - UIC College Prep,"1231 S. Damen, Chicago, IL 60608"
6398,Dominican University at College of St. Catherine,"2004 Randolph Ave, St. Paul, MN 55105"
6399,Dominican University at Chicago Bar Association,"321 Plymouth Court, Chicago, IL 60604"
6400,Dominican University at Rowe Clark Math and Science Academy,"3645 West Chicago Ave, Chicago, IL 60651"
6401,Moraine Valley Community College District,"10900 S. 88th Ave., Palos Hills, IL 60465"
6402,Dominican University at Rauner College Prep HS (Noble Street),"1337 W. Ohio Street, Chicago, IL 60642-6430"
6403,Kelvyn Park High School,"4343 W. Wrightwood Avenue, Chicago, IL 60639"
6404,Marquardt School District,"1860 Glen Ellyn Road, Glendale Heights, IL 60139"
6405,Mary Lyon School,"2941 N. McVicker Avenue, Chicago, IL 60634"
6406,Alverno College,"3400 S. 43rd Street, Milwaukee, WI 53234"
6407,Rush University,"600 S. Paulina St., Chicago, IL 60612"
6408,Saint Francis Medical Center College of Nursing,"511 NE Greenleaf St, Peoria, IL 61603-3783"
6409,University of St. Francis,"500 N Wilcox St, Joliet, IL 60435-6188"
6410,University of St. Francis - Albuquerque,"4401 Silver Ave SE, Albuquerque, NM 87108"
6411,University of St. Francis at Advocate Good Shepherd Hospital,"450 West Highway 22, Barrington, IL 60010"
6412,University of St. Francis at Birmingham Childrens Health System,"1600 5th Avenue South, Birmingham, AL 35233"
6413,University of St. Francis at Bryn Mawr Hospital,"130 S. Bryn Mawr Avenue, Bryn Mawr, PA 19010"
6414,University of St. Francis at Reavis High School,"6034 W. 77th St., Burbank, IL 60459"
6415,University of St. Francis at Erlanger Medical Center,"975 East Third Street, Chattanooga, TN 37403"
6416,University of St. Francis at Good Samaratin Hospital,"3815 Highland Ave., Downers Grove, IL 60515"
6417,University of St. Francis at Lincolnway North High School,"19900 South Harlem Avenue, Frankfort, IL 60423"
6418,University of St. Francis at Twin Oaks,"3033 W. Jefferson Street, Joliet, IL 60435"
6419,University of St. Francis at Advocate Christ Hospital,"4440 West 95th Street, Oak Lawn, IL 60453"
6420,University of St. Francis at Thompson Junior High,"440 Boulder Hill Pass, Oswego, IL 60543"
6421,University of St. Francis at Alan B. Shepard High School,"13049 Ridgeland Ave, Palos Heights, IL 60463"
6422,University of St. Francis at Morainne Valley Community College,"9000 W. College Park, Palos Hills, IL 60466"
6423,University of St. Francis at Ira Jones Middle School,"15320 Wallin Drive, Plainfield, IL 60544"
6424,University of St. Francis at Plainfield East High School,"12001 S. Naperville Rd., Plainfield, IL 60585"
6425,University of St. Francis at Pontiac Township High School,"1100 East Indiana Avenue, Pontiac, IL 61764"
6426,University of St. Francis at North Shore University Health System,"9600 Gross Point Road, Skokie, IL 60076"
6427,University of St. Francis at Centennial School,"614 Oakley Ave., Streator, IL 60435"
6428,University of St. Francis at Carle Clinic,"620 West University Avenue, Urbana, IL 61802-2030"
6429,University of St. Francis at Yorkville School,"103 Schoolhouse Road, Yorkville, IL 60560"
6430,University of St. Francis at St. Joseph Medical Center Peppertree Educational B,"350 W Thomas Road, Phoenix, AZ 85013"
6431,University of St. Francis at Wayside Baptist Church,"7701 SW 98th St, Miami, FL 33156"
6432,University of St. Francis at Orlando Regional Medical Center,"1414 Kuhl Avenue, Orlando, FL 32806"
6433,University of St. Francis at Fairview-University Medical Center,"701 25th Avenue, Minneapolis, MN 55454"
6434,University of St. Francis at Fox Chase Cancer Center,"7701 Burholme Avenue, Philadelphia, PA 19111"
6435,University of St. Francis at Wheaton Franciscan Wauwatosa,"201 N. Mayfair Rd., Wauwatosa, WI 53226"
6436,University of St. Francis at Archdiocese of Chicago,"835 N. Rush St., Chicago, IL 60601"
6437,University of St. Francis at Indian Trail Elementary School,"6235 Stonewall Ave., Downer's Grove, IL 60516"
6438,University of St. Francis at LaSalle Peru Township High School,"5411 Chartres St., LaSalle, IL 61301"
6439,University of St. Francis at Minooka District Office,"305 W. Church St., Minooka, IL 60447"
6440,University of St. Francis at Lincoln Way Central High School,"1801 E. Lincoln Highway, New Lenox, IL 60451"
6441,University of St. Francis at Eagle Point Elementary School,"24562 Norwood Dr., Plainfield, IL 60544"
6442,University of St. Francis at Yorkville Intermediate School,"103 School House Rd., Yorkville, IL 60560"
6443,University of St. Francis at Hillcrest School,"1435 Jefferson Avenue, Downer's Grove, IL 60516"
6444,University of St. Francis at Provena St. Joseph Medical Center,"333 n. Madison St., Joliet, IL 60435"
6445,University of St. Francis at Minooka Dist. 201 District Office,"305 W. Church St., Minooka, IL 60447"
6446,University of St. Francis at Oaster-Oakview School,"809 N. Cedar Rd., New Lenox, IL 60451"
6447,University of St. Francis at Church on the Mall/Plymouth Meeting Mall,"500 W. Germantown Mall, Plymouth Meeting, PA 19462"
6448,University of St. Francis at Marianjoy Rehabilitation Hospital,"26 W 171 Roosevelt Rd., Wheaton, IL 60187"
6449,University of St. Francis at Herrick Middle School,"4435 Middaugh Avenue, Downers Grove, IL 60516"
6450,University of St. Francis at LaGrange Area Dept. of Special Ed.,"1301 W. Cossitt Ave., LaGrange, IL 60525"
6451,University of St. Francis at CORE Administration Center,"300 Commerce Drive, Crystal Lake, IL 60014"
6452,University of St. Francis at Core Administration Center; Lincoln Jr. High School,"1165 St. Vincent Ave., LaSalle, IL 61301"
6453,University of St. Francis at Edward Hospital,"801 S. Washington Street, Naperville, IL 60540"
6454,University of St. Francis at Health Center at Trexlertown,"6900 Hamilton Blvd, Trexlertown, PA 18087"
6455,University of St. Francis at Illinois Central College,"115 SW Adams Street, Peoria, IL 61602"
6456,University of St. Francis at Kennedy School,"7644 S. Central Ave., Burbank, IL 60459"
6457,University of St. Francis at St. Thomas Hospital,"4220 Harding Pike, Nashville, TN 37205"
6458,University of St. Francis at Streator High School,"600 N. Jefferson St., Streator, IL 61364"
6459,University of St. Francis at Sumner Regional Medial Center,"555 Hartsville Pike, Gallatin, TN 37066-2400"
6460,University of St. Francis at Thomas Jefferson School,"1900 Oxford Way, Joliet, IL 60431"
6461,University of St. Francis at Woods Creek Elementary School,"1100 Alexandra Blvd, Crystal Lake, IL 60014"
6462,University of St. Francis at Wilmington High School,"209 Wildcat Ct., Wilmington, IL 60481"
6463,University of St. Francis at Reed School,"14939 143rd St., Homer Glen, IL 60491"
6464,University of St. Francis at Nazareth Academy,"1209 W. Ogden Ave., La Grange Park, IL 60526"
6465,University of St. Francis at East Aurora High School,"500 Tomcat Lane, Aurora, IL 60505"
6466,University of St. Francis at Bristol Bay Elementary School,"427 Bristol Bay Dr., Yorkville, IL 60560"
6467,University of St. Francis at Lutheran General Hospital,"1775 West Dempster, Park Ridge, IL 60068"
6468,University of St. Francis at Porta High School,"17651 Bluejay Road., Petersburg, IL 62675"
6469,University of St. Francis at Oak Prairie School,"15161 S. Gougar Rd., Homer Glen, IL 60491"
6470,University of St. Francis at Valley Health System,"8801 Sahara Ave., Las Vegas, NV 89117"
6471,University of St. Francis at Troy Middle School,"5800 W. Theodore, Planfield, IL 60586"
6472,University of St. Francis at Neuqua Valley High School,"3220 Cedar Glade Dr., Naperville, IL 60564"
6473,University of St. Francis at Muhlenberg High School,"801 Bellevue Ave., Laureldale, PA 19605"
6474,University of St. Francis at LaQuinta Inn,"5450 27th Street, Moline, IL 61265"
6475,University of St. Francis at Palos East Elementary School,"7700 W. 127th Street, Palos Heights, IL 60463"
6476,University of St. Francis at JFK Elementary School,"800 Richards Street, Spring Valley, IL 61362"
6477,University of St. Francis at Romeoville High School,"100 N Independence Blvd., Romeoville, IL 60446"
6478,University of St. Francis at Little Company of Mary Hospital,"2800 West 95th St., Evergreen, IL 60805"
